epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,1015.58,0.9431,0.60091,0.95159,0.65268,0.66216,0.61192,0.29377,1.68859,1.36574,1.29398,0.0014258,0.0014258,0.0014258
147,1023.26,0.99953,0.63825,0.95997,0.61731,0.67568,0.61879,0.33999,1.50197,1.23991,1.21497,0.00142184,0.00142184,0.00142184
148,1030.84,0.95972,0.62097,0.95738,0.67254,0.68919,0.62869,0.34534,1.55298,1.2541,1.25377,0.00141788,0.00141788,0.00141788
149,1038.26,0.93163,0.60526,0.93848,0.61808,0.64865,0.61841,0.33635,1.55737,1.31303,1.2702,0.00141392,0.00141392,0.00141392
150,1045.55,0.91569,0.59363,0.96519,0.62832,0.68537,0.63607,0.35641,1.51317,1.37217,1.27695,0.00140996,0.00140996,0.00140996
151,1052.76,0.92363,0.58358,0.94855,0.63458,0.68058,0.65866,0.35233,1.61923,1.41913,1.31584,0.001406,0.001406,0.001406
152,1060.16,0.92548,0.59267,0.95804,0.64125,0.67568,0.63088,0.32925,1.67852,1.51473,1.34907,0.00140204,0.00140204,0.00140204
153,1067.61,0.97802,0.66418,0.95015,0.68979,0.66216,0.6236,0.34158,1.64381,1.4772,1.34386,0.00139808,0.00139808,0.00139808
154,1075.42,0.92287,0.60121,0.93702,0.6655,0.60811,0.61414,0.33542,1.68832,1.47331,1.34765,0.00139412,0.00139412,0.00139412
155,1083.42,0.92867,0.57684,0.94546,0.67173,0.55405,0.62856,0.34422,1.51417,1.36744,1.24098,0.00139016,0.00139016,0.00139016
